POI_name,Average_Rating,Destination_name,POI_reviews_count,POI_category,POI_description,POI_rating,POI_address,POI_Suggested_Duration,POI_open_close_hours,Review_Sentiment,Trip_type
Domaine Carneros,4.5,Napa,1473,Wineries & Vineyards,"We welcome you to join us! We are seating for tastings outdoors on our expansive terrace, with limited seating indoors. Reservations are required, and all visitors must be at least 21 years of age. For your health and for ours, masks and social...",4.5,"1240 Duhig Rd, Napa, CA 94559-9713",,"Hours
Sun - Sat
10:00 AM - 5:30 PM",Positive,Relaxed
Dorothy Green Park,4.5,Santa Monica,20,Parks,,4.5,"2600 Barnard Way At the end of Ocean Park Blvd, Santa Monica, CA 90405-4067",,,Positive,Relaxed
Douglas Family Preserve,4.5,Santa Barbara,75,Nature & Wildlife Areas,,4.5,"Mesa School Lane, Santa Barbara, CA 93109",,,Positive,Adventurous
Downtown Disney District,4.5,Anaheim,8767,"Points of Interest & Landmarks, Disney Parks & Activities","Make way for more magic with unique eateries, upscale shops and exciting entertainment for Guests of all ages at Disneyland Resort's Downtown Disney District! Check out Disney fan favorite shops like World of Disney, Disneyland Resort Backlot...",4.5,"Disneyland Dr at Katella Ave, Anaheim, CA 92804",,"Hours
Sun - Sat
10:00 AM - 9:00 PM",Positive,Adventurous
Earl Henderson Trail,4.5,Palm Springs,7,Hiking Trails,,4.5,"Barona Road, Palm Springs, Greater Palm Springs, CA 92264",,,Positive,Adventurous
East Beach,4.5,Santa Barbara,108,Beaches,,4.5,"1400 E Cabrillo Blvd, Santa Barbara, CA 93108-2880",,,Positive,Relaxed
Echo Park,4.5,Los Angeles,117,Neighborhoods,,4.5,"Los Angeles, CA 90026",,,Positive,Relaxed
Edgemar Center for the Arts,5.0,Santa Monica,19,Theaters,"Michelle Danner Acting Studio offers:* The Actor's Golden Box: With Michelle Danner* Audition for Film & Television: On-Camera Cold Reading* Scene Study, Beginning/Intermediate/Advanced* Improv Workout* Casting Director Workshop* Voice intensives...",5.0,"2437 Main St, Santa Monica, CA 90405-3539",,"Hours
Mon - Fri
9:00 AM - 6:30 PM",Positive,Activities
El Dorado Beach,4.0,Lake Tahoe,35,Beaches,,4.0,"1004 Lakeview Ave, South Lake Tahoe, CA 96150-2555",,,Positive,Relaxed
El Presidio de Santa Barbara State Historic Park,4.5,Santa Barbara,139,"State Parks, Points of Interest & Landmarks",,4.5,"123 E Canon Perdido St, Santa Barbara, CA 93101-2215",,,Positive,Relaxed
El Pueblo de Los Angeles,4.0,Los Angeles,353,"Historic Sites, Neighborhoods","Consisting of forty-four acres, this region is a historical re-creation of a typical Spanish village representing the origins of Los Angeles.",4.0,"Macy, Alameda, Spring and Arcadia streets, Los Angeles, CA 90012-2932",Suggested Duration:1-2 hours,"Hours
Sun - Sat
9:00 AM - 4:00 PM",Positive,Relaxed
Eleven Eleven Winery,5.0,Napa,68,Wineries & Vineyards,"With an emphasis on enjoying life, celebrating everyday moments, and delivering the highest quality products and experiences, Eleven Eleven is a welcoming and elegant winery offering award-winning single vineyard wines.",5.0,"620 Trancas St, Napa, CA 94558-3083",Suggested Duration:1-2 hours,"Hours
Sun - Sat
10:00 AM - 4:00 PM",Positive,Relaxed
Elings Park,4.5,Santa Barbara,29,Parks,"Elings Park is the largest privately funded public park in America. Built on land reclaimed from a city landfill, includes soccer and softball fields, a hill for paragliding, hiking trails, playgrounds, picnic areas, and venues for weddings and...",4.5,"1298 Las Positas Rd, Santa Barbara, CA 93105-4105",,,Positive,Relaxed
Ellen Browning Scripps Park,4.5,San Diego,207,Parks,,4.5,"1133 Coast Blvd, La Jolla, San Diego, CA 92037-3638",,,Positive,Relaxed
Elvis Honeymoon Hideaway,4.5,Palm Springs,322,Historic Sites,"The home of Elvis & Priscilla Presley in 1967 where they honeymooned and lived. Visit Elvis’ Palm Springs Home that Inspired Two “Upstairs” Suites at the Guest House at Graceland™. The Alexander Estate aka The House of Tomorrow, is a mid-century...",4.5,"1350 Ladera Cir, Palm Springs, Greater Palm Springs, CA 92262-4122",Suggested Duration:< 1 hour,"Hours
Sun - Sat
1:00 PM - 3:30 PM",Positive,Historic
Exploratorium,4.5,San Francisco,3493,"Speciality Museums, Science Museums","The Exploratorium is temporarily closed to the public. In accordance with local and state public health orders and recommendations, the Exploratorium is temporarily closed to the public. We have had no known cases of exposure to COVID-19. The...",4.5,"Green St Pier 15, The Embarcadero, San Francisco, CA 94111",,,Positive,Historic
Fallen Leaf Lake Trail,4.5,Lake Tahoe,60,Hiking Trails,,4.5,"Fallen Leaf Lake, South Lake Tahoe, CA",,,Positive,Adventurous
Fantasmic!,4.2,Anaheim,917,Rides & Activities,,4.2,"1313 Disneyland Drive Frontierland, Anaheim, CA",,,Positive,Adventurous
Ferry Building Marketplace,4.5,San Francisco,7360,Points of Interest & Landmarks,A city landmark transformed into a gourmet food emporium and farmers market.,4.5,"1 Ferry Building The Embarcadero at Market Street, San Francisco, CA 94111-4209",,,Positive,Historic
Filbert Steps,4.5,San Francisco,581,Historic Walking Areas,A 284 foot wooden-step walkway leading up to the top of Telegraph Hill.,4.5,"Sansome St. & Filbert St., San Francisco, CA 94133-3204",,,Positive,Historic
Fisherman's Wharf,4.0,San Francisco,19340,Neighborhoods,"Historic Fisherman's Wharf is the classic San Francisco experience where you will find a range of hotels, specialty restaurants, famous attractions, unique shops, breathtaking scenery and entertainment for the whole family.",4.0,"Jefferson Street Between Hyde and Powell Streets, San Francisco, CA 94133",,,Positive,Relaxed
Fontanella Family Winery,5.0,Napa,112,Wineries & Vineyards,"Great family, boutique winery in sunny Napa, CA. I want to review this great winery that we just visited! Cheers!",5.0,"1721 Partrick Rd, Napa, CA 94558-6182",,"Hours
Sun - Sat
10:00 AM - 4:00 PM",Positive,Relaxed
Franceschi Park,4.0,Santa Barbara,26,Parks,,4.0,"1510 Mission Ridge Rd, Santa Barbara, CA 93103-1877",,,Positive,Relaxed
Frank Bogert Trail,4.5,Palm Springs,14,Hiking Trails,,4.5,"Andreas Hills Dr, Palm Springs, Greater Palm Springs, CA 92264",,,Positive,Adventurous
Funk Zone,4.5,Santa Barbara,100,Points of Interest & Landmarks,,4.5,"Yanonali Street, Santa Barbara, CA 93101",,,Positive,Historic
Gainey Vineyard,4.0,Santa Barbara,170,Wineries & Vineyards,,4.0,"3950 E Highway 246 Santa Ynez Valley, Santa Barbara, CA 93460",,,Positive,Relaxed
Gehry House,4.5,Santa Monica,23,Architectural Buildings,,4.5,"1002 22nd St, Santa Monica, CA 90403-4518",,,Positive,Historic
Geisel Library,4.5,San Diego,46,Libraries,,4.5,"9500 Gilman Dr, La Jolla, San Diego, CA 92093-5004",,,Positive,Historic
Girard Avenue and Prospect Street,4.5,San Diego,286,Neighborhoods,"Fashionable streets in La Jolla that offer expensive shops, boutiques, art galleries and elegant restaurants.",4.5,"About 16 Km Northwest of San Diego Girard and Prospect Avenues, La Jolla, San Diego, CA",,,Positive,Relaxed
Glen Alpine Falls,4.5,Lake Tahoe,34,Waterfalls,,4.5,"Glen Alpine Rd, South Lake Tahoe, CA 96150",,,Positive,Relaxed
Golden Gate Bridge,4.5,San Francisco,49321,"Historic Sites,  Landmarks","Stretching 4,200 feet and towering as high as a 65-story building, this well-known bridge is the gateway to San Francisco.",4.5,"US-101, San Francisco, CA 94129",,,Positive,Historic
Golden Gate Park,4.5,San Francisco,9510,Parks,,4.5,"501 Stanyan St, San Francisco, CA 94117-1898",,,Positive,Relaxed
Golden State Theatre,4.5,Monterey,38,Theaters,"A gorgeous 1926 Movie Palace and Live Entertainment Venue in the heart of downtown Monterey. Beautifully restored to its former glory with plush velvet seats, red carpet, fine murals and home to the peninusula's Mighty Wurlitzer! First class acts...",4.5,"417 Alvarado St, Monterey, CA 93940-2710",,"Hours
Tue - Fri
10:00 AM - 6:00 PM",Positive,Activities
Grass Lake Trail,4.0,Lake Tahoe,3,"Nature & Wildlife Areas, Hiking Trails",,4.0,Grass Lake Trail,,,Positive,Adventurous
Griffith Observatory,4.5,Los Angeles,20272,Observatories & Planetariums,"A public observatory owned and operated by the City of Los Angeles for the benefit of all. Located in on Mount Hollywood in Griffith Park, the Observatory offers a planetarium, exhibits, public telescopes, cafe, bookstore, and the best views of...",4.5,"2800 E. Observatory Rd., Los Angeles, CA 90027-1299",Suggested Duration:< 1 hour,"Hours
Tue - Fri
12:00 PM - 10:00 PM
Sat - Sun
10:00 AM - 10:00 PM",Positive,Historic
Griffith Park,4.5,Los Angeles,3172,Parks,"Covering more than 4,107 acres of natural terrain, this is the largest municipal park and urban wilderness area in the United States, which offers numerous family attractions and activities.",4.5,"4730 Crystal Springs Dr, Los Angeles, CA 90027-1401",Suggested Duration:1-2 hours,"Hours
Sun - Sat
6:00 AM - 10:00 PM",Positive,Relaxed
Grizzly River Run,4.5,Anaheim,68,Rides & Activities,,4.5,"1313 Disneyland Drive Grizzly Peak, Anaheim, CA",,,Positive,Adventurous
Guardians of the Galaxy – Mission: BREAKOUT!,4.5,Anaheim,196,Disney Parks & Activities,,4.5,"1313 Disneyland Dr, Anaheim, CA 92802",,,Positive,Adventurous
Hagafen Cellars,4.5,Napa,160,Wineries & Vineyards,,4.5,"4160 Silverado Trl, Napa, CA 94558-1118",,,Positive,Relaxed
Haunted Mansion,4.5,Anaheim,136,Rides & Activities,,4.5,"1313 Disneyland Drive New Orleans Square, Anaheim, CA",,,Positive,Adventurous
Hendry Ranch Wines,4.5,Napa,300,Wineries & Vineyards,,4.5,"3104 Redwood Rd, Napa, CA 94558-9706",,,Positive,Relaxed
Ho Chi Minh Trail,4.5,San Diego,86,Hiking Trails,,4.5,"9883 La Jolla Farms Rd, La Jolla, San Diego, CA 92037-1136",,,Positive,Adventurous
Hollyhock House,4.5,Los Angeles,176,"Specialty Museums, Historic Sites, Points of Interest & Landmarks","HOLLYHOCK HOUSE was Frank Lloyd Wright’s first Los Angeles commission and an ode to California – its freedom and natural beauty. Built between 1919 and 1921 for Aline Barnsdall, the house introduced young architects Rudolph Schindler and Richard...",4.5,"4800 Hollywood Blvd Barnsdall Art Park, Los Angeles, CA 90027-5302",Suggested Duration:1-2 hours,,Positive,Historic
Hollywood Bowl Museum,4.5,Los Angeles,1396,Specialty Museums,,4.5,"2301 N Highland Ave, Los Angeles, CA 90068-2742",,,Positive,Historic
Hollywood Forever Cemetery,4.5,Los Angeles,405,Cemeteries,Final resting-place of some of Hollywood's celebrities and other luminaries.,4.5,"6000 Santa Monica Blvd, Los Angeles, CA 90038-1864",Suggested Duration:< 1 hour,"Hours
Sun - Sat
8:30 AM - 5:00 PM",Positive,Relaxed
Hollywood Hills,4.0,Los Angeles,657,Neighborhoods,,4.0,"2917-2981 Runyon Canyon Rd, Los Angeles, CA 90046, Los Angeles, CA",,,Positive,Relaxed
Hollywood Sign,4.0,Los Angeles,7661,Points of Interest & Landmarks,"Perched atop Mount Lee, this global symbol of Hollywood glamour measures 450 feet in length with mammoth white letters, each standing 45 feet high, spelling out the name of the city. There is no access to The Hollywood Sign as it sits on...",4.0,"Los Angeles, CA 90068",Suggested Duration:2-3 hours,,Positive,Historic
Hollywood Walk of Fame,3.5,Los Angeles,17567,"Points of Interest & Landmarks, Historic Walking Areas","A boulevard where the stars of Hollywood are immortalized with bronze star-plaques, embedded in pink and charcoal terrazzo squares.",3.5,"Hollywood Blvd at Vine St, Los Angeles, CA 90028",Suggested Duration:< 1 hour,,Positive,Historic
Holocaust Museum LA,5.0,Los Angeles,214,History Museums,,5.0,"100 The Grove Dr, Los Angeles, CA 90036-6200",,,Positive,Historic
Honda Center,4.5,Anaheim,651,Arenas & Stadiums,,4.5,"2695 E Katella Ave, Anaheim, CA 92806-5904",,,Positive,Historic
Incredicoaster,4.5,Anaheim,106,Rides & Activities,,4.5,"1313 Disneyland Drive Paradise Pier, Anaheim, CA",,,Positive,Adventurous
Indian Canyons,4.5,Palm Springs,1565,Historic Sites,,4.5,"38500 S Palm Canyon Dr, Palm Springs, Greater Palm Springs, CA 92264-9332",,,Positive,Historic
Indian Canyons Hiking Trails,4.5,Palm Springs,314,Hiking Trails,,4.5,"385 Stanford Drive, Palm Springs, Greater Palm Springs, CA 92264-9332",,,Positive,Adventurous
Indiana Jones Adventure,4.5,Anaheim,129,Rides & Activities,,4.5,"1313 Disneyland Drive Adventureland, Anaheim, CA",,,Positive,Adventurous
International Chess Park,4.25,Santa Monica,23,Parks,,4.5,"Ocean Front Walk, Santa Monica, CA",,,Positive,Relaxed
Isabelle,4.5,Palm Springs,7,Monuments & Statues,,4.5,"100 W Tahquitz Canyon Way, Palm Springs, Greater Palm Springs, CA 92262-6390",,,Positive,Historic
It's a Small World,4.5,Anaheim,126,Rides & Activities,,4.5,"1313 Disneyland Drive Fantasyland, Anaheim, CA",,,Positive,Adventurous
Italics Winegrowers,5.0,Napa,23,Wineries & Vineyards,"Located in Coombsville just east of downtown Napa, Italics Winegrowers is a luxury producer of Bordeaux varietals and blends from Napa Valley. There’s no better way to experience Italics than to come to the source. Tours & tastings at Italics are...",5.0,"40 Rapp Ln, Napa, CA 94558-3853",,,Positive,Relaxed
Jacks Peak County Park,4.0,Monterey,113,Parks,,4.0,"25020 Jacks Peak Park Road, Monterey, CA 93940",,,Positive,Relaxed
Japanese Tea Garden,4.5,San Francisco,3303,Gardens,Four-acre refuge in Golden Gate Park featuring Japanese architecture and gardens.,4.5,"75 Hagiwara Tea Garden Dr Golden Gate Park, San Francisco, CA 94118-4502",,"Hours
Sun - Sat
9:00 AM - 4:45 PM",Positive,Relaxed
Jarvis Estate,5.0,Napa,318,Wineries & Vineyards,"Jarvis Estate is a family owned winery dedicated to crafting a limited quantity of preeminent wines from our sustainably farmed, estate vineyards in the rugged hillside, four miles east of downtown Napa Valley. The Jarvis Estate winemaking...",5.0,"2970 Monticello Rd, Napa, CA 94558-9615",Suggested Duration:1-2 hours,"Hours
Sun - Sat
9:00 AM - 5:00 PM",Positive,Relaxed
Jobs Peak,4.0,Lake Tahoe,8,Mountains,,4.0,"South Lake Tahoe, CA",,,Positive,Relaxed
Judd's Hill Winery and MicroCrush,5.0,Napa,678,Wineries & Vineyards,"Judd's Hill is owned and operated by two generations of the Finkelstein family. Bunnie, Judd and Holly Finkelstein are vintners dedicated to producing ultra-premium, handcrafted wines in small lots while highlighting them in entertaining and...",5.0,"2332 Silverado Trl 2332 Silverado Trail, 94558, Napa, Napa Valley, California, Napa, CA 94558-2045",Suggested Duration:< 1 hour,"Hours
Sun - Sat
10:00 AM - 4:00 PM",Positive,Relaxed
Jungle Cruise,4.5,Anaheim,78,Rides & Activities,,4.5,"1313 Disneyland Drive Adventureland, Anaheim, CA",,,Positive,Adventurous
Karpeles Manuscript Library,4.0,Santa Barbara,19,Specialty Museums,,4.0,"21 W Anapamu St, Santa Barbara, CA 93101-3107",,,Positive,Historic
Kenzo Estate,4.5,Napa,66,Wineries & Vineyards,"Visit Kenzo Estate, a secluded vineyard property in Napa Valley, to enjoy lush scenery and taste premium wines in the Backen & Gillam-designed tasting room, surrounded by carefully tended vines, 100-year old olive trees and hushed peace. Founder...",4.5,"3200 Monticello Road Gate Entrance at Monticello Road, Napa, CA 94558-9655",Suggested Duration:2-3 hours,"Hours
Sun - Sat
10:00 AM - 4:30 PM",Positive,Relaxed
Kieu Hoang Winery,4.5,Napa,34,Wineries & Vineyards,"In Napa Valley, making wine is just like composing a poem. Kieu Hoang combines science with art. To represent a new world of wine, Kieu Hoang Winery has chosen to acquire the Michael Mondavi family winery, a legend in winemaking and well-known...",4.5,"1285 Dealy Ln, Napa, CA 94559-9706",Suggested Duration:1-2 hours,,Positive,Relaxed
Kiva Beach,4.5,Lake Tahoe,51,Beaches,,4.5,"Hwy 89, South Lake Tahoe, CA 96150",,,Positive,Relaxed
Korean Bell of Friendship,4.5,Los Angeles,183,"Points of Interest & Landmarks, Monuments & Statues",A huge bell given to the US as a bi-centennial gift and as a commemoration of veterans of the Korean War,4.5,"3601 S Gaffey St San Pedro, California, Los Angeles, CA 90731-6969",,"Hours
Sun - Sat
10:00 AM - 6:00 PM",Positive,Historic
Kunin Wines Tasting Room,4.5,Santa Barbara,45,Wineries & Vineyards,"Known for producing small lots of Rhone-style wines from the Central Coast's best vineyards. Varietals include Chardonnay, Viognier, Grenache, Syrah and Zinfandel as well as blends. We offer several wine tasting options to please any palate....",4.5,"28 Anacapa St, Santa Barbara, CA 93101-1881",,"Hours
Sun - Sat
11:00 AM - 7:00 PM",Positive,Relaxed
L.A.'s Iconic Lifeguard Towers,4.5,Santa Monica,16,Points of Interest & Landmarks,,4.5,"Santa monica beach, Santa Monica, CA",,,Positive,Historic
La Brea Tar Pits and Museum,4.5,Los Angeles,3163,Natural History Museums,"Explore the world's only active, urban Ice Age excavation site. Inside the Page Museum is where we showcase the best fossils, animals, and plants that have been discovered here - mammoths, saber-toothed cats, dire wolves, and more. Experience the...",4.5,"5801 Wilshire Blvd, Los Angeles, CA 90036-4539",Suggested Duration:1-2 hours,"Hours
Sun - Sat
9:30 AM - 5:00 PM",Positive,Historic
La Jolla Caves,4.5,San Diego,726,Caverns & Caves,Seven elongated fissures in the cliff walls that can be entered during low tide.,4.5,"La Jolla, San Diego, CA",,,Positive,Relaxed
La Jolla Cove,4.5,San Diego,13460,Beaches,"San Diego's most desirable spot for swimming, diving and snorkeling. The water is calm and the cove is ecologically protected. There is also a world famous dive site that is located in the La Jolla ecological preserve.",4.5,"1100 Coast Blvd, La Jolla, San Diego, CA 92037-3600",,,Positive,Relaxed
La Jolla Open Aire Market,4.5,San Diego,80,Flea & Street Markets,"The La Jolla Open Aire Market has cultivated the finest local farmers, artisans, and food vendors to make up one of the best and the biggest Farmers Market in San Diego. Each Sunday nearly 150 vendors participate in the La Jolla Open Aire Market...",4.5,"Corner of Girard Avenue & Genter Street, La Jolla, San Diego, CA",,,Positive,Activities
La Jolla Playhouse,4.5,San Diego,200,Theaters,Theater on the UC San Diego campus.,4.5,"2910 La Jolla Village Dr, La Jolla, San Diego, CA 92093-5100",,"Hours
Mon - Fri
9:00 AM - 5:30 PM",Positive,Activities
La Jolla Shores Park,4.5,San Diego,2695,Beaches,"Mile-long beach features gentle waves during the summer months, making this spot a prime spot for novice scuba divers.",4.5,"8300 Camino del Oro, La Jolla, San Diego, CA 92037",,,Positive,Relaxed
Laird Family Estate,5.0,Napa,75,Wineries & Vineyards,,5.0,"5055 Solano Ave, Napa, CA 94558-1326",,,Positive,Relaxed
Lake Berryessa,5.0,Napa,46,Bodies of Water,"Lake Berryessa is one of Northern California's largest man-made lakes, with 20,000 surface acres and 165 miles of shoreline.",5.0,"Napa, CA",,,Positive,Relaxed
Lake Cachuma,3.5,Santa Barbara,225,Bodies of Water,"Set amidst acres of wilderness flanked by the picturesque Santa Ynez and San Rafael Mountains, lies glimmering Cachuma Lake. Here you will find practically everything you need for a relaxing getaway in the great outdoors. Mild temperatures,...",3.5,"HC 59 - Highway 154, Santa Barbara, CA 93105",,,Positive,Relaxed
Lake Hollywood Park,4.5,Los Angeles,393,Parks,,4.5,"3200 Canyon Lake Dr, Los Angeles, CA 90068-1606",,,Positive,Relaxed
Lake Tahoe Historical Society Museum,4.0,Lake Tahoe,30,Speciality Museums,,4.0,"3058 Lake Tahoe Blvd, South Lake Tahoe, CA 96150-7810",,,Positive,Historic
Lakeside Beach,4.5,Lake Tahoe,155,Beaches,,4.5,"4081 Lakeshore Blvd, South Lake Tahoe, CA 96150-6917",,,Positive,Relaxed
Lands End,4.5,San Francisco,2831,Hiking Trails,"At the northwestern corner of San Francisco, there is a series of stunning views at every turn in this wild and windy trail. Hillsides of cypress and wildflowers, views of shipwrecks and access to the ruins of Sutro baths, a San Francisco specials...",4.5,"Point Lobos Avenue and El Camino del Mar, San Francisco, CA 94121",,"Hours
Mon - Fri
9:00 AM - 5:00 PM
Sat - Sun
9:00 AM - 6:00 PM",Positive,Adventurous
Larkin House,4.5,Monterey,12,"Historic Sites, Architectural Buildings",,4.5,"Monterey State Historic Park 510 Calle Principal, Monterey, CA",,,Positive,Historic
Las Palmas,4.5,Palm Springs,59,Historic Walking Areas,Famed celebrity neighborhood in Palm Springs (Elvis' honeymoon digs are located here).,4.5,"Palm Springs, Greater Palm Springs, CA",,,Positive,Historic
Lazy Acres Grocery,4.5,Santa Barbara,13,Farmers Markets,,4.5,"302 Meigs Rd, Santa Barbara, CA 93109-1984",,,Positive,Activities
Leadbetter Beach,4.0,Santa Barbara,26,Beaches,,4.0,"402 E Ortega St, Santa Barbara, CA 93101-1635",,,Positive,Relaxed
Legion of Honor,4.5,San Francisco,2021,Art Museums,An outstanding collection of European art in a gorgeous hilltop museum setting.,4.5,"100 34th Ave Lincoln Park, San Francisco, CA 94121-1677",Suggested Duration:1-2 hours,,Positive,Historic
Little Italy,4.5,San Diego,2005,Neighborhoods,San Diego's oldest continuous neighborhood business district has continued to be a vibrant ethnic business and residential community since the 1920s.,4.5,"1668 Columbia St From Laurel south to West A Street, San Diego, CA 92101-2502",,"Hours
Mon - Fri
9:00 AM - 5:00 PM",Positive,Relaxed
Little Tokyo,4.0,Anaheim,837,Neighborhoods,This Japanese neighborhood is a good place for eating and visiting gardens.,4.0,"Downtown Southeast of the Civic Center; bounded by 1st, Los Angeles, CA",,,Positive,Relaxed
Lobero Theatre,4.5,Santa Barbara,53,Theaters,"Originally founded in 1873 and rebuilt in 1924, the Lobero Theatre is recognized as one of Santa Barbara's architectural jewels and a State and City landmark. It is the home stage to most of the major performing arts groups in Santa Barbara. The...",4.5,"33 E Canon Perdido St, Santa Barbara, CA 93101-2246",,"Hours
Mon - Fri
10:00 AM - 5:00 PM
Sat
12:00 PM - 5:00 PM",Positive,Activities
Lombard Street,4.5,San Francisco,18141,Points of Interest & Landmarks,"Known as the ""crookedest"" street in the world, the steep hills and sharp curves of this one-way road pass by grand Victorian mansions and attract millions of tourists each year.",4.5,"1070 Lombard Street between Jones St and Hyde St, San Francisco, CA 94109",,,Positive,Historic
Los Angeles Central Library,4.5,Los Angeles,422,Libraries,"Restored, historic library with Egyptian influenced architecture.",4.5,"630 W 5th St Free Tours Daily, Los Angeles, CA 90071-2002",,,Positive,Historic
Los Angeles County Museum of Art,4.5,Los Angeles,2791,Art Museums,"Since its inception in 1965, the Los Angeles County Museum of Art (LACMA) has been devoted to collecting works of art that span both history and geography, in addition to representing Los Angeles's uniquely diverse population. Today LACMA is the...",4.5,"5905 Wilshire Blvd, Los Angeles, CA 90036-4597",Suggested Duration:1-2 hours,"Hours
Mon - Tue
11:00 AM - 5:00 PM
Thu
11:00 AM - 5:00 PM
Fri
11:00 AM - 8:00 PM
Sat - Sun
10:00 AM - 7:00 PM",Positive,Historic
Los Angeles Zoo & Botanical Gardens,4.0,Los Angeles,973,Zoos,"Verified Important announcement: The L.A. Zoo will be temporarily closed to the public effective Friday, March 13, 2020 through the end of the month. As a department of the City of Los Angeles, we are following Mayor Garcetti’s city-wide directive...",4.0,"5333 Zoo Dr, Los Angeles, CA 90027-1451",Suggested Duration:More than 3 hours,,Positive,Relaxed
Lower Eagle Falls,4.5,Lake Tahoe,298,Waterfalls,,4.5,"Emerald Bay, South Lake Tahoe, CA",,,Positive,Relaxed
Luigi's Rollickin' Roadsters,4.5,Anaheim,344,Theme Parks,,4.5,"1313 Disneyland Drive in California Adventure Park, in CarsLand, Anaheim, CA 92802",,,Positive,Adventurous
Luna Vineyards,4.0,Napa,111,Wineries & Vineyards,"Luna Vineyards is a boutique winery located at the base of Silverado Trail in Napa. The winery consistently produces wines rated 90+ including Pinot Grigio, Sangiovese, Merlot and Cabernet Sauvignon. The Tasting Salon offers an elegant and...",4.0,"2921 Silverado Trail, Napa, CA 94558-2016",Suggested Duration:1-2 hours,"Hours
Sun - Sat
9:30 AM - 4:00 PM",Positive,Relaxed
"MOXI, The Wolf Museum of Exploration + Innovation",5.0,Santa Barbara,68,Science Museums,"MOXI, The Wolf Museum of Exploration + Innovation, is a one-of-a-kind museum for all ages designed to ignite learning through interactive experiences in science and creativity. The museum's three floors are filled with 17,000 square feet of...",5.0,"125 State St, Santa Barbara, CA 93101-3529",Suggested Duration:2-3 hours,"Hours
Sun - Sat
10:00 AM - 5:00 PM",Positive,Historic
MST Trolley,4.0,Monterey,77,Tramways,,4.0,"Tyler St, Monterey, CA 93940",,,Positive,Relaxed
Madonna Estate,4.0,Napa,108,Wineries & Vineyards,"Since 1922 the Bartolucci Family has consistently created a perfect marriage of grapes and wine at Madonna Estate. Located in the world-renowned Carneros region, an area known for its fertile lands and cool climate, the Bartolucci family has found...",4.0,"5400 Old Sonoma Rd, Napa, CA 94559-9708",Suggested Duration:< 1 hour,"Hours
Sun - Sat
10:00 AM - 5:00 PM",Positive,Relaxed
Marcus Ashley Fine Art Gallery,4.5,Lake Tahoe,61,Art Galleries,,4.5,"4000 Lake Tahoe Blvd Upscale Fine Art Gallery, South Lake Tahoe, CA 96150-7071",,,Positive,Historic
Margerum Wine Company Tasting Room,4.5,Santa Barbara,101,Wineries & Vineyards,"The MARGERUM WINE COMPANY tasting room, the latest addition to the lauded Santa Barbara Urban Wine Trail, is located adjacent to the vibrant Funk Zone in the Hotel Californian on the Northwest corner of Mason Street and Helena Avenue. The tasting...",4.5,"19 E Mason St Corner of Mason St. And Helena Ave., Santa Barbara, CA 93101",Suggested Duration:1-2 hours,"Hours
Sun - Thu
11:00 AM - 8:00 PM
Fri - Sat
11:00 AM - 9:00 PM",Positive,Relaxed
Maritime Museum of San Diego,4.5,San Diego,1744,Specialty Museums,"Welcome aboard our floating compilation of adventure and history! Admission to the ""Maritime Museum of San Diego"" grants you access to one of the world's finest collections of historic sea vessels. Once on board our museum ships, you will find...",4.5,"1492 N Harbor Dr Discovery Pier, San Diego, CA 92101-3309",Suggested Duration:1-2 hours,"Hours
Mon
10:00 AM - 8:00 PM
Tue - Sun
10:00 AM - 5:00 PM",Positive,Historic
Mary Hotchkiss Park,5.0,Santa Monica,8,Parks,,5.0,"2302 4th St, Santa Monica, CA 90405-3413",,,Positive,Relaxed
"Mary, Star of the Sea Catholic Church",4.5,San Diego,47,Churches & Cathedrals,,4.5,"7669 Girard Ave, La Jolla, San Diego, CA 92037-4421",,,Positive,Historic
Matterhorn Bobsleds,4.5,Anaheim,103,Rides & Activities,,4.5,"1313 Disneyland Drive Fantasyland, Anaheim, CA",,,Positive,Adventurous
McAbee Beach,4.5,Monterey,34,Beaches,,4.5,"1 Hoffman Ave, Monterey, CA 93940",,,Positive,Relaxed
Meeks Bay Trail,4.0,Lake Tahoe,4,Hiking Trails,,4.0,"Tahoma, CA 96142",,,Positive,Adventurous
Memorial Park,5.0,Santa Monica,2,Parks,"Memorial Park Gym & Fitness Room (indoor facility for workouts, basketball and volleyball); Police Activities League; Community meeting rooms; 2 youth baseball fields with concession stand; 1 adult baseball field; 3 softball infields; 1 soccer...",5.0,"1401 Olympic Blvd, Santa Monica, CA 90404-3823",,,Positive,Relaxed
Metro Calvary Chapel,5.0,Santa Monica,1,Points of Interest & Landmarks,,5.0,"604 Arizona Ave, Santa Monica, CA 90401-1610",,,Positive,Historic
Mission Beach,4.5,San Diego,2029,Beaches,"Along with Pacific Beach and Ocean Beach, Mission Beach forms the coastline of San Diego.",4.5,"San Diego, CA 92109",,,Positive,Relaxed
Mission Dolores Park,4.5,San Francisco,874,Parks,"One of the city's most popular park located between the Mission District and the Castro/Noe Valley neighborhoods. On sunny afternoons people flock to the park to play, picnic, lounge, walk their dogs, and enjoy spectacular views of the city's...",4.5,"Dolores Street, San Francisco, CA 94110",,,Positive,Relaxed
"Monsters, Inc. Mike & Sulley to the Rescue!",4.5,Anaheim,64,Rides & Activities,,4.5,"1313 Disneyland Drive Hollywood Land, Anaheim, CA",,,Positive,Adventurous
